Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,distancia,nivel_estres
2024-07-02,0,0.039,0.0,0.449,0.511,1.0,0.0,2.0,1.0,-0.221229698414933,0.11027685274938721,Normal
2024-07-02,1,0.0,0.0,0.652,0.348,0.0,0.0,1.0,1.0,-0.1440338057610738,0.11393322166621704,Normal
2024-07-02,2,0.0,0.0,0.679,0.321,0.0,0.0,1.0,1.0,-0.1295900815780439,0.11411254841307555,Normal
2024-07-02,3,0.0,0.0,0.41,0.59,0.0,0.0,2.0,1.0,-0.273492370660823,0.08735700121656845,Normal
2024-07-02,4,0.079,0.0,0.918,0.003,1.0,0.0,1.0,1.0,0.0608694885546076,0.11228994774757681,Normal
2024-07-02,5,0.0,0.0,0.689,0.311,0.0,0.0,2.0,2.0,-0.1242405541028476,0.05890941217175874,Normal
2024-07-02,6,0.197,0.0,0.725,0.079,1.0,0.0,3.0,1.0,0.0506433408571182,0.047140386519231,Normal
2024-07-02,7,0.839,0.118,0.043,0.0,1.0,1.0,1.0,0.0,0.3012358205196467,0.015560466334272,Normal
2024-07-02,8,0.774,0.039,0.187,0.0,2.0,1.0,1.0,0.0,0.2556808062616855,0.08218912524829575,Normal
2024-07-02,9,0.0,0.0,0.607,0.393,0.0,0.0,2.0,1.0,-0.1681066793994569,0.038419619006437575,Normal
2024-07-02,10,0.259,0.0,0.741,0.0,2.0,0.0,2.0,0.0,0.1088291234535456,0.029688802959220103,Normal
2024-07-02,11,0.607,0.354,0.0,0.039,5.0,3.0,0.0,1.0,0.3067091180225854,0.02805721021484246,Normal
2024-07-02,12,0.197,0.157,0.197,0.449,2.0,1.0,1.0,1.0,-0.0900644835942505,0.014362711705367789,Normal
2024-07-02,13,0.079,0.039,0.308,0.574,1.0,1.0,3.0,2.0,-0.2303630140155984,0.013261566206657843,Normal
2024-07-02,14,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0,-0.1895047893002419,0.027185284180749284,Normal
2024-07-02,15,0.157,0.105,0.344,0.393,1.0,2.0,2.0,2.0,-0.0894176759807223,0.05037486494710088,Normal
2024-07-02,16,0.948,0.052,0.0,0.0,1.0,1.0,0.0,0.0,0.3052322624506852,0.008861278169672712,Normal
2024-07-02,17,0.921,0.079,0.0,0.0,2.0,1.0,0.0,0.0,0.3081274802884975,0.02847793396534913,Normal
2024-07-02,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2996562873556395,0.030205164143470953,Normal
2024-07-02,19,0.397,0.0,0.079,0.525,1.0,0.0,1.0,2.0,-0.1364402771406578,0.04707949082185626,Normal
2024-07-02,20,0.0,0.0,0.423,0.577,0.0,0.0,1.0,1.0,-0.2665379849430679,0.14455256489643753,Normal
2024-07-02,21,0.321,0.079,0.01,0.59,2.0,1.0,1.0,1.0,-0.1620105629360115,0.14253544320903425,Normal
2024-07-02,22,0.269,0.0,0.236,0.495,1.0,0.0,1.0,1.0,-0.1533972211988699,0.07549031598623573,Normal
2024-07-02,23,0.0,0.0,0.551,0.449,1.0,0.0,1.0,2.0,-0.1980640332605559,0.10079990296259943,Normal
2024-07-03,0,0.0,0.0,0.551,0.449,0.0,0.0,1.0,1.0,-0.1980640332605559,0.1720375900893535,Leve
2024-07-03,1,0.0,0.0,0.859,0.141,0.0,0.0,1.0,1.0,-0.0332985870245114,0.08675344877320966,Normal
2024-07-03,2,0.0,0.0,0.479,0.521,0.0,0.0,2.0,2.0,-0.2365806310819689,0.0793407870044649,Normal
2024-07-03,3,0.079,0.026,0.275,0.62,1.0,1.0,1.0,1.0,-0.2597126791560011,0.13057985720013368,Normal
2024-07-03,4,0.236,0.131,0.436,0.197,2.0,2.0,2.0,1.0,0.0453034662139106,0.13118791801681923,Normal
2024-07-03,5,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0,-0.1895047893002419,0.14842205851306448,Normal
2024-07-03,6,0.118,0.0,0.61,0.272,1.0,0.0,2.0,1.0,-0.072989265585956,0.15313229479626328,Normal
2024-07-03,7,0.118,0.157,0.472,0.252,1.0,2.0,3.0,5.0,-0.0050655185046709,0.1335836368832107,Normal
2024-07-03,8,0.118,0.039,0.748,0.095,1.0,1.0,1.0,2.0,0.0359228869885174,0.06469811741622955,Normal
2024-07-03,9,0.557,0.0,0.157,0.285,2.0,0.0,1.0,2.0,0.0330683686800821,0.039980158890232965,Normal
2024-07-03,10,0.19,0.039,0.354,0.416,3.0,1.0,3.0,2.0,-0.1172971640531063,0.05866012847290768,Normal
2024-07-03,11,0.0,0.0,0.708,0.292,0.0,0.0,1.0,1.0,-0.1140764518999748,0.028361290047472083,Normal
2024-07-03,12,0.961,0.0,0.039,0.0,1.0,0.0,1.0,0.0,0.2896127524134241,0.11640720056451204,Normal
2024-07-03,13,0.102,0.0,0.308,0.59,1.0,0.0,2.0,1.0,-0.2472246638888748,0.16039893097090704,Leve
2024-07-03,14,0.275,0.039,0.557,0.128,1.0,1.0,3.0,2.0,0.0586589828758357,0.12541625362464073,Normal
2024-07-03,15,0.079,0.0,0.472,0.449,1.0,0.0,1.0,2.0,-0.1777194368391451,0.164021269607222,Leve
2024-07-03,16,0.869,0.118,0.0,0.013,1.0,1.0,0.0,1.0,0.3020072309112881,0.18144419669325412,Leve
2024-07-03,17,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.3038382686769239,0.11867604505118508,Normal
2024-07-03,18,0.807,0.0,0.193,0.0,1.0,0.0,1.0,0.0,0.2499536657185219,0.11911704143143699,Normal
2024-07-03,19,0.118,0.013,0.082,0.787,1.0,1.0,2.0,1.0,-0.3437480918040629,0.09545580307282131,Normal
2024-07-03,20,0.118,0.026,0.236,0.62,1.0,1.0,1.0,1.0,-0.2496691442137857,0.08397163850132777,Normal
2024-07-03,21,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0,-0.1980640332605559,0.0975253601911704,Normal
