Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,distancia,nivel_estres
2024-07-02,0,0.0,0.0,0.764,0.236,0.0,0.0,2.0,1.0,-0.047467554211444,0.06754575367699543,Normal
2024-07-02,1,0.0,0.0,0.37,0.63,0.0,0.0,2.0,1.0,-0.3296604170796038,0.066666044014853,Normal
2024-07-02,2,0.0,0.0,0.911,0.089,0.0,0.0,1.0,1.0,0.0578176002089099,0.0926892329122489,Normal
2024-07-02,3,0.0,0.0,0.656,0.344,0.0,0.0,1.0,1.0,-0.1248199125610919,0.06444483514405296,Normal
2024-07-02,4,0.079,0.0,0.292,0.63,1.0,0.0,3.0,1.0,-0.3139259255048118,0.13025494775317217,Normal
2024-07-02,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121561673293342,0.08637779630721923,Normal
2024-07-02,6,0.075,0.0,0.492,0.433,1.0,0.0,2.0,1.0,-0.1737415838403036,0.14878785144883197,Normal
2024-07-02,7,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.3134677554767112,0.08391385831450278,Normal
2024-07-02,8,0.105,0.0,0.63,0.266,1.0,0.0,1.0,1.0,-0.0480813962190777,0.10457867248581781,Normal
2024-07-02,9,0.0,0.0,0.479,0.521,0.0,0.0,1.0,1.0,-0.2515918331896815,0.0702105453173809,Normal
2024-07-02,10,0.062,0.0,0.938,0.0,1.0,0.0,1.0,0.0,0.1338148587856575,0.11448421921595588,Normal
2024-07-02,11,0.449,0.0,0.551,0.0,1.0,0.0,1.0,0.0,0.2102984521005944,0.0865442589698319,Normal
2024-07-02,12,0.0,0.0,0.646,0.354,0.0,0.0,2.0,1.0,-0.131982167963837,0.04126139210108566,Normal
2024-07-02,13,0.354,0.0,0.646,0.0,2.0,0.0,3.0,0.0,0.1915234098139819,0.13413181251480644,Normal
2024-07-02,14,0.0,0.0,0.607,0.393,0.0,0.0,2.0,1.0,-0.1599149640345432,0.020923715110443584,Normal
2024-07-02,15,0.223,0.197,0.58,0.0,1.0,2.0,2.0,0.0,0.1756437759259519,0.1330210628603893,Normal
2024-07-02,16,0.921,0.079,0.0,0.0,2.0,1.0,0.0,0.0,0.3075949945677521,0.11720951025625759,Normal
2024-07-02,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,0.010984397762073151,Normal
2024-07-02,18,0.807,0.193,0.0,0.0,4.0,4.0,0.0,0.0,0.2908576259772184,0.11841144712985004,Normal
2024-07-02,19,0.079,0.161,0.315,0.446,1.0,2.0,1.0,1.0,-0.1739595328776549,0.03475852574784333,Normal
2024-07-02,20,0.0,0.0,0.62,0.38,0.0,0.0,1.0,1.0,-0.1506040320109745,0.13088912262316457,Normal
2024-07-02,21,0.4,0.039,0.285,0.275,2.0,1.0,2.0,1.0,0.0055126047248775,0.06703678831720089,Normal
2024-07-02,22,0.859,0.0,0.039,0.102,1.0,0.0,1.0,1.0,0.2182725768611314,0.1423223186118068,Normal
2024-07-02,23,0.0,0.0,0.315,0.685,0.0,0.0,2.0,1.0,-0.3690528217947023,0.2324971151860707,Leve
2024-07-03,0,0.174,0.0,0.118,0.708,1.0,0.0,1.0,1.0,-0.351138037032905,0.22974768119720568,Leve
2024-07-03,1,0.18,0.0,0.354,0.466,3.0,0.0,3.0,1.0,-0.1766256641420542,0.16853776132817325,Normal
2024-07-03,2,0.0,0.0,0.443,0.557,0.0,0.0,1.0,1.0,-0.2773759526395641,0.15472321072536194,Normal
2024-07-03,3,0.0,0.0,0.344,0.656,0.0,0.0,1.0,1.0,-0.3482822811267413,0.06539263313433714,Normal
2024-07-03,4,0.118,0.0,0.83,0.052,1.0,0.0,2.0,1.0,0.1076385240392804,0.18847335287718583,Normal
2024-07-03,5,0.0,0.0,0.252,0.748,0.0,0.0,2.0,1.0,-0.4141750308319968,0.2469147175516437,Leve
2024-07-03,6,0.118,0.0,0.882,0.0,1.0,0.0,2.0,0.0,0.1448822521335553,0.38564143440038795,Alto
2024-07-03,7,0.079,0.0,0.921,0.0,1.0,0.0,2.0,0.0,0.1371746031948408,0.30819268450003157,Alto
2024-07-03,8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121561673293342,0.33772218863900566,Alto
